Iteration_Survey,Participant,Gender,Age,SpanL1,[Field-2]-1_1_1-relatedword1,[Field-2]-1_1_1-relatedword2,[Field-2]-1_1_1-relatedword3,[Field-2]-1_1_2-relatedword1,[Field-2]-1_1_2-relatedword2,[Field-2]-1_1_2-relatedword3,[Field-2]-1_1_4-relatedword1,[Field-2]-1_1_4-relatedword2,[Field-2]-1_1_4-relatedword3,[Field-2]-1_2_1-relatedword1,[Field-2]-1_2_1-relatedword2,[Field-2]-1_2_1-relatedword3,[Field-2]-1_2_2-relatedword1,[Field-2]-1_2_2-relatedword2,[Field-2]-1_2_2-relatedword3,[Field-2]-1_2_3-relatedword1,[Field-2]-1_2_3-relatedword2,[Field-2]-1_2_3-relatedword3,[Field-2]-1_3_1-relatedword1,[Field-2]-1_3_1-relatedword2,[Field-2]-1_3_1-relatedword3,[Field-2]-1_3_3-relatedword1,[Field-2]-1_3_3-relatedword2,[Field-2]-1_3_3-relatedword3,[Field-2]-1_3_4-relatedword1,[Field-2]-1_3_4-relatedword2,[Field-2]-1_3_4-relatedword3,[Field-2]-2_1_1-relatedword1,[Field-2]-2_1_1-relatedword2,[Field-2]-2_1_1-relatedword3,[Field-2]-2_1_2-relatedword1,[Field-2]-2_1_2-relatedword2,[Field-2]-2_1_2-relatedword3,[Field-2]-2_1_3-relatedword1,[Field-2]-2_1_3-relatedword2,[Field-2]-2_1_3-relatedword3,[Field-2]-2_2_2-relatedword1,[Field-2]-2_2_2-relatedword2,[Field-2]-2_2_2-relatedword3,[Field-2]-2_2_3-relatedword1,[Field-2]-2_2_3-relatedword2,[Field-2]-2_2_3-relatedword3,[Field-2]-2_2_6-relatedword1,[Field-2]-2_2_6-relatedword2,[Field-2]-2_2_6-relatedword3,[Field-2]-2_3_1-relatedword1,[Field-2]-2_3_1-relatedword2,[Field-2]-2_3_1-relatedword3,[Field-2]-2_3_2-relatedword1,[Field-2]-2_3_2-relatedword2,[Field-2]-2_3_2-relatedword3,[Field-2]-2_3_4-relatedword1,[Field-2]-2_3_4-relatedword2,[Field-2]-2_3_4-relatedword3,[Field-2]-3_1_1-relatedword1,[Field-2]-3_1_1-relatedword2,[Field-2]-3_1_1-relatedword3,[Field-2]-3_1_6-relatedword1,[Field-2]-3_1_6-relatedword2,[Field-2]-3_1_6-relatedword3,[Field-2]-3_1_3-relatedword1,[Field-2]-3_1_3-relatedword2,[Field-2]-3_1_3-relatedword3,[Field-2]-3_2_5-relatedword1,[Field-2]-3_2_5-relatedword2,[Field-2]-3_2_5-relatedword3,[Field-2]-3_2_2-relatedword1,[Field-2]-3_2_2-relatedword2,[Field-2]-3_2_2-relatedword3,[Field-2]-3_2_3-relatedword1,[Field-2]-3_2_3-relatedword2,[Field-2]-3_2_3-relatedword3,[Field-2]-3_3_1-relatedword1,[Field-2]-3_3_1-relatedword2,[Field-2]-3_3_1-relatedword3,[Field-2]-3_3_2-relatedword1,[Field-2]-3_3_2-relatedword2,[Field-2]-3_3_2-relatedword3,[Field-2]-3_3_4-relatedword1,[Field-2]-3_3_4-relatedword2,[Field-2]-3_3_4-relatedword3,Forthisquestiontypethewordbananainthethreeboxes.-relatedword1,Forthisquestiontypethewordbananainthethreeboxes.-relatedword2,Forthisquestiontypethewordbananainthethreeboxes.-relatedword3,[Field-2]-1_1_3-relatedword1,[Field-2]-1_1_3-relatedword2,[Field-2]-1_1_3-relatedword3,[Field-2]-1_1_5-relatedword1,[Field-2]-1_1_5-relatedword2,[Field-2]-1_1_5-relatedword3,[Field-2]-1_1_6-relatedword1,[Field-2]-1_1_6-relatedword2,[Field-2]-1_1_6-relatedword3,[Field-2]-1_2_4-relatedword1,[Field-2]-1_2_4-relatedword2,[Field-2]-1_2_4-relatedword3,[Field-2]-1_2_5-relatedword1,[Field-2]-1_2_5-relatedword2,[Field-2]-1_2_5-relatedword3,[Field-2]-1_2_6-relatedword1,[Field-2]-1_2_6-relatedword2,[Field-2]-1_2_6-relatedword3,[Field-2]-1_3_2-relatedword1,[Field-2]-1_3_2-relatedword2,[Field-2]-1_3_2-relatedword3,[Field-2]-1_3_5-relatedword1,[Field-2]-1_3_5-relatedword2,[Field-2]-1_3_5-relatedword3,[Field-2]-1_3_6-relatedword1,[Field-2]-1_3_6-relatedword2,[Field-2]-1_3_6-relatedword3,[Field-2]-2_1_4-relatedword1,[Field-2]-2_1_4-relatedword2,[Field-2]-2_1_4-relatedword3,[Field-2]-2_1_5-relatedword1,[Field-2]-2_1_5-relatedword2,[Field-2]-2_1_5-relatedword3,[Field-2]-2_1_6-relatedword1,[Field-2]-2_1_6-relatedword2,[Field-2]-2_1_6-relatedword3,[Field-2]-2_2_1-relatedword1,[Field-2]-2_2_1-relatedword2,[Field-2]-2_2_1-relatedword3,[Field-2]-2_2_4-relatedword1,[Field-2]-2_2_4-relatedword2,[Field-2]-2_2_4-relatedword3,[Field-2]-2_2_5-relatedword1,[Field-2]-2_2_5-relatedword2,[Field-2]-2_2_5-relatedword3,[Field-2]-2_3_3-relatedword1,[Field-2]-2_3_3-relatedword2,[Field-2]-2_3_3-relatedword3,[Field-2]-2_3_5-relatedword1,[Field-2]-2_3_5-relatedword2,[Field-2]-2_3_5-relatedword3,[Field-2]-2_3_6-relatedword1,[Field-2]-2_3_6-relatedword2,[Field-2]-2_3_6-relatedword3,[Field-2]-3_1_4-relatedword1,[Field-2]-3_1_4-relatedword2,[Field-2]-3_1_4-relatedword3,[Field-2]-3_1_5-relatedword1,[Field-2]-3_1_5-relatedword2,[Field-2]-3_1_5-relatedword3,[Field-2]-3_1_2-relatedword1,[Field-2]-3_1_2-relatedword2,[Field-2]-3_1_2-relatedword3,[Field-2]-3_2_4-relatedword1,[Field-2]-3_2_4-relatedword2,[Field-2]-3_2_4-relatedword3,[Field-2]-3_2_1-relatedword1,[Field-2]-3_2_1-relatedword2,[Field-2]-3_2_1-relatedword3,[Field-2]-3_2_6-relatedword1,[Field-2]-3_2_6-relatedword2,[Field-2]-3_2_6-relatedword3,[Field-2]-3_3_3-relatedword1,[Field-2]-3_3_3-relatedword2,[Field-2]-3_3_3-relatedword3,[Field-2]-3_3_5-relatedword1,[Field-2]-3_3_5-relatedword2,[Field-2]-3_3_5-relatedword3,[Field-2]-3_3_6-relatedword1,[Field-2]-3_3_6-relatedword2,[Field-2]-3_3_6-relatedword3,LangSpoken,Lang_0-5,Lang_6-12,Lang_13-18,Eng_classes,Eng_classes_time,Eng_classes_amount,Caregivers_speak_Eng,Eng_travel,Eng_country
first,sp11,Male,18,Yes,descanzar,dormir,relajar ,persona,ojos,cara,limpiar,limpio,recojer,olor,limpieza,lavar,comida,utiles,fresco,Ropa,Camisa,Pantalones,Supermercado,Productos ,comida ,valor,productos,comprar,Eletronicos,Dinero,Valor,frio,bebida,sabor,comida,animal,grande,verde,saludable,comida,juego,competencia,futbol,futbol,deporte,ejercicio ,entrenador,persona,juego ,torro,hombre,Capote,frio,malo,peor ,ensalada,fresca,fresco,ropa,vestido,largo,chico,grande,chica,ropa,vestido,mujer,Vuelo,Aire,Pasaporte ,Aires,Sombra,pelotas,rentar,dinero,pagos,Mojado,Frio,resbalar,brilloso,grande,calor,fuego,briza,ropa,banana,banana,banana,color,portrait,digital,bed,blinds,paper,Bathroom,dishwasher,bathtub,dirty,can,useless,broom,dirt,trash,dishes,hands,dog,employee,staff,guidance,food,money,sale,expensive,value,paper,food,hot,raw,drunk,bottle,heavy,cold,ice cream,cakes,tennis,basketball,sports,winner,mvp,player,teammate,game,person,science,bones,test,suffer,sadness,cut,expert,intellegence,helpful,clothes ,suit,clothing,clothes,suit,expensive,clothes,suit,dress,car,bus,truck,backpack,grocery,purse,hotel,cabin,shelter,cold,ice,water,burn,cook,shelter,breeze,cold,heavy ,"English, Spanish",Spanish,"English, Spanish","English, Spanish",Yes,Elementary ,2,No,No,
first,sp12,Female,21,Yes,dormir,cuarto,acostar,alistar,vestir,maquillaje,limpiar,piso,carpeta,piso,recoger,sucio,cocina,comida,hambre,ropa,camisa,pelo,comprar,dinero,ropa,reducir,menos,descuento,rico,mucho,costoso,bebida,sed,tomar,comer,vaca,cocinar,saludable,vegetal,lechuga,futbol,juego,jugadores,equipo,juego,jugadores,juego,partido,jugadores,herida,pierna,pie,medicina,doctora,descansar,vegetal,ejercicio,come,ropa,poner,vestir,poner,cabeza,pelo,ropa,niña,vestir,viajar,cielo,dormir,verano,sol,caliente,rentar,apartamento,casa,oscuro,mojado,sombrilla,luz,dia,caliente,nieve,invierno,chaqueta,banana,banana,banana,fun,activity,hobby,bed,clean,rest,clean,clothes,laundry,dirty,can,throw,floor,clean,broom,clean,dirty,dishes,groceries,money,pay,inexpensive,buy,discount,wallet,buy,work,food,meat,animal,drink,alcohol,cold,eat,sweet,dinner,play,game,train,win,game,players,game,coach,soccer,doctor,hospital,injured,hurt,injured,rest,doctor,sick,hospital,wear,clothes,top,clothes,wear,girl,bottoms,jeans,clothes,travel,traffic,car,purse,store,money,cabin,hotel,vacation,cold,winter,white,hot,sunny,summer,cold,cloudy,outside,Spanish and English,Spanish,Spanish and English,Spanish and English,No,,,No,No,
first,sp13,Non-binary,25,Yes,dormir,almohada,cobija,baño,rasurar,cara,polvo,alfombra,piso,trapo,escoba,basura,comida,cena,desayuno,ropa,camisa,traje,comida,ropa,dinero,barato,descuento,dinero,medicina,viajar,casa,agua,jugó,limonada,verduras,asada,arroz,lechuga,aderezo,cebolla,fútbol,estadio,equipo,sentar,televisión,mueble,fútbol,juego,jugador,hueso,quebrado,cojear,fiebre,calentura,tos,sano,bien,Energía,ropa,pantalones,lavar,sol,caliente,cabeza,calcetín,medias,blusa,viajar,pasajero,volar,arena,oceano,sol,peliculas,carro,traje,nuves,sombrilla,botas,cielo,nuves,bronceado,nieve,escalofríos,chaqueta,banana,banana,banana,brush,art,decoration,bed,laundry,clean,clean,laundry,clothes,bag,garbage,smelly,broom,trashcan,clean,clean,soap,detergeant,register,cash,purchase,affordable,quantity,flimsy,cash,bank,savings,grilled,fried,rice,drunk,alcohol,party,dinner,sweet,treat,play,game,catch,winner,teams,competition,athlete,basketball,baseball,doctor,broken,examination,hurt,medicine,injury,doctor,hospital,examination,wear,torso,pants,shoes,stockings,formal,legs,wear,shoes,car,work,gasoline,carry,wallet,money,sleep,vacation,rent,winter,cold,mountains,sunlight,oven,fire,breezy,cool,refreshing,"English, Spanish","Spanish, English","Spanish, English","Spanish, English",Yes,Elementary school to high school,13 years,Yes,No,
first,sp14,Female,19,Yes,silla,dormir,descanso,reflecion,belleza,ropa,ventilador,aire,salud,cocinar,hogar,limpio,ordenar,mama,aceite,lavar,limpio,mujer,rebaja,diversion,dinero,cupon,tienda,pulgero,costoso,rebaja,tienda,refrescante,fiesta,agua,asar,barbacoa,pollo,comida,saludable,lonche,divertido,familia,futbol,gimnasio,saludable,costoso,futbol,juego,partido,toro,palo,espana,salud,medico,tristeza,felicidad,gimnasio,regimen,negra,frio,ropa,bebida,felicidad,calor,peso,estilo,barriga,vuelo,autobus,viaje,sol,arena,familia,rentar,casa,vivienda,lluvioso,nublado,triste,playa,camiseta,calor,calor,chaqueta,nieve,banana,banana,banana,remodeling,coloring,painter,pillowcase,bed,covers,dryer,laundry,chores,recycling,dirty,garbage,dusting,brushing,sweeping,laundry,dishes,cleaning,store,coupon,cashier,coupon,free,reduced,cash,deposit,job,grilled,lunch,dinner,cold,summer,refreshing,food,delicious,baking,basketball,hoop,golf,worldwide,superbowl,athletics,gamer,fun,action,doctor,MRI,hospital,sadness,hurt,wound,doctor,nurse,surgeon,warm,graphic,store,flowy,spring,pretty,jeans,trousers,khakis,crashing,gasoline,license,tote,storage,purse,hotel,cabin,rental,cold,winter,jacket,summer,hot,tshirt,cloudy,gloomy,refreshing,english and spanish,spanish,spanish,"spanish, som english",No,,,Yes,No,
first,sp15,Female,21,No,almohada,dormir,tranquilo,cara,pelo,bano,alfombra,casa,quehaceres,platos,ventanas,mesa,comida,olla,arroz,camisa,pantalones,quehaceres,ingresos,cosas,cajero,descuento,comida,comercial,dinero,preciosa,ropa,beber,amigos,helado,rojo,plato,rico,frutas,cena,salud,fiesta,grupo,juego,dilegencia,futbol,juegos,evaluador,futbol,justicia,enfermeria,hospital,dolor,fiebre,cama,pastillas,alimentos,vitaminas,correr,zapatos,azul,rojo,sol,cara,frente,atuendo,cinturón,camisa,viajar,aire,pais,mar,verano,arena,casa,dinero,meses,sol,nube,flores,lluvia,tiempo,dia,nieve ,enero,chaqueta,banana,banana,banana,oil,old,famous,spread,bed,cheese,dish,metal,detergent,can,bin,collector,broom,floor,clean,car,job,clean,money,cash,greeting,discount,money,poor,federal,bank,wages,meat,tacos,fried,drink,game,bar,sand,yellow,windy,round,circle,fun,game,winning,trophy,team,CD,video,chest,bone,dentist,itchy,red,hurt,doctor,stethoscope,medicine,top,blouse,camisole,pink,cute,summer,belt,jeans,cuffs,car,automobile,red,purse,book,stuff,house,rent,woods,white,cold,weather,sun,July,heater,air,breath,water,"Mandarin, Spanish, English",Mandarin,English,English,Yes,Freshman year of college,1 semester,Yes,No,
first,sp16,Male,18,Yes,cansado,dormir,covija,reflecion,grande,crystal,rido,sucio,limpiando,casa,sucio,bueno,comida,caliente,delicioso,ropa,aruga,caliente,ropa,divertido,caro,peso,gordo,entrenamiento,zapatos,rico,tienda,bebida,soda,delicioso,asada,delicioso,ambre,frutas,vejetales,juevo,mundial,futbol,campionato,physico,ejecericio,cansado,juego,campionato,partido,viajar,ropa,bolsa,coronavirus,isolado,malo,ensalada,vegetales,frutas,negra,calor,mol,mexico,gorra,caballero,blusa,mujer,moda,viaje,chicle,rapido,sol,familia,agua,cabana,divertido,familia,mojado,frio,chaqueta,luna,calor,estrella,abrigo,invierno,calefacion,banana,banana,banana,pictures,drawing,art,bed,wool,comfortable,dryer,clothes,wet,can,unwanted,waste,broom,mop,clean,clothes,car,shower,helpful,nice,intelligent,smart,old,used,travel,freedom,happiness,tenders,wings,animal,corona,nasty,alcohol,chocolate,delicous,filling,basketball,football,baseball,ring,trophy,team,basketball,baseball,football,bone,broken,doctor,heartbreak,hurt,terrible,doctor,sick,help,summer,fashion,outside,woman,fashion,fancy,fashion,cold,long,speed,adrenaline,useful,money,duffel,travel,woods,cabin,vacation,cold,fun,winter,wave,miami,beach,strong,wavy,breeze,English-Spanish,English and Spanish,English and Spanish,English and Spanish,Yes,Every grade,12 years,Yes,Yes,I live in the United States
first,sp17,Female,28,Yes,dormir,sueno,descanzar,reflejo,cara,cuerpo,polvo,sucio,alfombra,bonito,respirar,polvo,comida,cocina,ingredientes,ropa,arrugado,caliente,pan,comida,dulce,buen precio,triunfo,barato,plata,marca,socioeconomico,fruta,sed,dulce,pollo,vaca,sazon,lechuga,tomate,saludable,futbol,incha,grito,deportes,tennis,futbol,tarjeta,amarilla,roja,enfermo,hospital,tronche,tos,dolor ,cama,ensalada,agua,ejercicio,corbata,manga larga,manga corta,sol,cancer,proteccion,ropa,piernas,calor,alas,cielo,viaje,arena,mar,vestido,pelicula,carro,prestado,mojada,sombrilla,oscuro,nubes,cielo,calor,nieve,viento,chaqueta,bananito,chiquita,masacre,color,paint,decoration,wash,grey,dirty,dryer,clean,water,smelly,black,outside,to clean,to mop,to vaccuum,to dry,to sing,to iron,buy,groceries,miscelaneous,deals,sale,happy,salary,invest,save,meat,organic,yellow,brand,bar,friends,sweet,chocolate,ice cream,game,kick,throw,triumph,trophy,winner,defense,offense,game,fracture,bones,pain,hurt,accident,hospital,nurse,doctor,medicine,sweater,jacket,sun,skin,pretty,confident,comfortable,cold,clean,to bike,to walk,car,purse,plastic,reusable,vacation,cabin,trees,hat,scarf,boots,cold,sweater,gloves,cold,humid,hot,spanish and english and some arabic,spanish,spanish,spanish,Yes,elementary,one year,Yes,No,
first,sp18,Male,28,Yes,dormir,despertar,sol,pelo,cara,nariz,limpio,carpeta,gato,baño,jabon,agua,cocina,carne,aceite,ropa,olor,caliente,ropas,zapatos,camisas,libras,ejercicio,gimnasio,dinero,mucho,cena,soda,agua,jugo,comida,horneado,cocina,lechuga,tomate,saludable,deportes,beisbol,juego,trabajo,deportes,trabajador,futbol,lucha,comercio,hospital,dolor,pies,gripe,doctor,medicina,sano,contento,hospital,ropa,trabajo,corbata,mexico,gorro,grande,cama,mujer,escuela,gasolina,aeropuerto,paises,nadar,jugar,amar,estres,casa,apartamento,mojado,nubes,sombrilla,mañana,caliente,fresco,caliente,nieve,invierno,banana,banana,banana,oil,canvas,pallet,full,king,queen,dryer,clothes,detergent,garbage,dispose,stinky,clean,dust,work,clean,dry,wet,grocery,supermarket,disgruntled,inexpensive,weak,fragile,bank,stocks,job,egg,drumstick,hatchery,bar,drunk,smell,candy,sweet,sugar,base,basket,sport,wrestling,baseball,event,baseball,virtual,sports,doctor,vest,teeth,blood,discomfort,uneasy,doctor,hospital,illness,underwear,pajamas,home,occasion,glitter,purple,zipper,jeans,blue,accelerate,brake,stop,bookbag,school,shopping,hotel,motel,overnight,snowman,winter,birthday,sun,sweat,melt,power,turbine,hurricane,"English, Spanish",Spanish,Spanish,Spanish,Yes,Elementary school,3,Yes,No,
first,sp19,Male,24,Yes,dormir,comodo,sueño,mirar,vidrio,cara,limpiar,ruido,basura,papel,quimico,olor,comida,sarten,aceite,ropa,agua,calor,comprar,comida,dinero,descuento,menos,bajo,dinero,mucho,carro,bebida,soda,tomar,comida,animal,delicioso,frutas,plantas,comida,pastel,madera,labios,deportes,ejercicio,gritar,deportes,hombre,gorra,rojo,tela,hombre,tos,medicina,calor,ensalada,agua,ejercicio,ropa,cubierto,tela,gorra,amarillo,sombra,mujer,algodon,larga,cielo,volar,alto,agua,bikini,arena,persona,dinero,tiempo,agua,nubes,oscuro,birlloso,calor,feo,hielo,cobija,aire,banana,banana,banana,color,art,brush,bed,pillow,cover,clean,clothes,water,dirty,bag,foul,broom,clean,dust,clean,soap,water,sell,product,uniform,money,common,buy,pay,buy,spend,animal,food,egg,alcohol,drink,drunk,chocolate,cake,sweet,sports,exercise,dog,boxing,sports,compete,game,sports,cool,bones,human,body,hurt,bad,wound,doctor,help,treatment,clothes,chest,cotton,clothes,woman,skirt,clothes,shorts,denim,car,travel,gas,container,plastic,leather,housing,living,payment,cold,white,slippery,temperature,hot,steam,force,air,blow,"English, Spanish",Spanish,English,"English, Spanish",No,,,Yes,No,
first,sp20,Male,30,Yes,Noche ,Dormir,Descansar,Bano,Recamara,Viedro,Limpiar,Limpio,Carpeta,Escoba,Jabon,Agua,Estufa,Hoya,Cuchara,Pantalon,Blousa,Camisa,Pueblo,Mandado,Refrescos,Quitar,Menos,Poquito,Camino,Chofer,Passejeros,Soda ,Tacos ,Comer,Comer,Res,Pollo,Refresco,Dieta,Verdura,Futbol,Deporte,Juego,Boxeador,Trabajo,Experienca,Deporte,Futbol,Juego,Caminar ,Torcido,Mal,Hospital,Doctor,Emfermera,Bien,Engeria,Ejercisio,Playera,Pantalones,Blousa,Solado,Caliente,Sol,Blousa,Zapatos,Camisa,Viajar,Volar,Cielo,Mar,Marino,Lancha,Renta,Casa,Dueno,Agua,Tormenta,Mojado,Dia,Sombrero,Sombra,Fresco,Chamarra,Caliente,Banana,Banana,Banana,Brush,Paint,Art,Bed,Warm,Stacks,Cleaner,Employee,Job,Clean,Can,Landfill,Clean,Broom,Mop,Clean,Clothes,Soap,Gas,Market,Teller,Less,Inexpensive,Deal,Dollars,Cash,Check,Sandwich,Eggs,Farm,Bar,Cold,Glass,Ice cream,Cake,Dinner,Hoop,Sport,Player,Basketball,Game,Player,Ball,Athlete,Game,Vision,Doctor,Machine,Blood,Injury,Hurt,Doctor,Clinic,Nurse,Summer,Pants,Shoes,Hair ,Shoes,Dance,Shoes,Shirt,Clothes,Car,Driver,Road,Store,Plastic,Carry,Room,Hotel,Cabin,Cold,Winter,Snowman,Summer,Warm,Hot,Air,Breeze,Tornado,English Spanish,Spanish,Spanish,English,Yes,Elementary,3,No,No,
first,sp21,Female,24,Yes,dormir,noche,edredon ,reflexion,ropa,cabello,limpiar,piso,trapear,musica,barrer,sucio,olor,comida,bueno,ropa,carro,lavanderia,comprar,comida,ropa,reduccion,descuenta,dinero,manejar,vacacion,volante,caliente,sabor,jugo ,pollo,res,sabor,tomate,cebolla,lechuga,futbol,pelota,jugar,ensenar ,aprender,trabajo,juego,equipo,pelea,caminar,piernas,pies,mal,fievre,toser,amigable ,hola,envitar,ropa,pantalon,calcetin,calor,cielo,sol,piernas,medias,pantalon,aire,cielo,alas,jugar,soleado,mar,casa,trabajo,permito ,clima,afuera,mojado,caliente,verano,temperatura,chamarra ,botas,nieve,banana,banana,banana,art,gallery,brushes,bed,sleep,night,clean,clothes,dishes,racists,recycle,compost,dirty,mop,clean,clean,clothes,dishes,buy,polite,helpful,free,reduced,deal,spend,buy,save,meat,beef,pork,drunk,alcohol,spirits,fruit,chocolate,food,play,match,sport,win,sport,play,game,sport,referee ,sick,hospital,injury,hurt,injury,pills,doctor,sick,help,pants,socks,underwear,pants,shirt,jacket,shirt,underwear,jacket,car,wheel,seat,items,carry,school,stay,hotel,cabin,cold,ice,weather,hot,sunny,summer,air,outside,grass,"english, spanish, french",spanish/french,spanish/french,spanish/french,Yes,elementary to college,all through school,Yes,Yes,"Lived in Canada for most of my life, and now the usa "
first,sp22,Female,22,Yes,saco,bancada,sofa,vidrio,reflexion,mira,limpiadora,barredera,chupar,recoger,organizar,mondar,cocer,guisar,comida,calor,aplastar,ropa,reserva,provisions,departamento,reduccion,descuento,menos,costoso,rico,dinero,soda,sediento,gaseado,pulpa,sustancia,animale,lechuga,sano,natural,grupo,equipo,mecha,jefe,instructor,profesor,ref,evaluador,mediador,ayuda,base,palo,enfermo,malo,debil,sano,bueno,ok,blusa,cota,cubrir,sol,gorra,sombra,ropa,gachi,etapa,plano,planear,volar,agua,arena,caliente,pagar,mensual,deber,ducha,nube,corriente,luz,beillante,caliente,resfriado,enfriamiento,sereno,banana,banana,banana,brushwork,stroking,coloring,cloth,coat,rag,machine,water,cleaner,garbage,junk,waste,rake,clean,broom,cleaning,rinsing,bath,worker,employee,salesman,inexpensive,shabby,petty,coin,currency,wealth,fowl,sissy,bird,booze,pint,liquor,hot,sand,dry,round ,sphere,air,tourney,tournament,title,sport,team,performer,examination,see through,penetrate,hurt,sorrow,distress,doctor,practitioner,teacher,cover,cloths,undershirt,cloths,skirt,grown,trousers,pair,shorts,steer,guild,conduct,pouch,pocket,purse,housing,quarters,chamber,cold,white,frosty,warm,burning,hot,breeze,air,draught,English Spanish,Spanish English,English Spanish,English Spanish,Yes,1st grade up to 12th,12 years,No,Yes,United States 18 years
first,sp23,Female,20,Yes,dormir,noche,relajar,cuarto,maquillaje,windex,suciedad,limpieza,ruidoso,casa,suciedad,escoba,comida,casa,madre,ropa,evento,quemadura,comida,ropa,dinero,reducir,cupon,discuento,dinero,lujo,mol,coca-cola,comida,fiesta,vaca,puerco,comida,dieta,lonche,pollo,futbol,arbitro,juego,gymnasio,determinacion,deporte,deporte,juego,direccion,hospital,caida,toro,virus,clinica,medicina,clinica,salud,medicina,ropa,pantalones,tienda,gorra,sol,estilo,mujer,calor,fiesta,aire,vacacion,familia,agua,vacacion,tiburon,dinero,apartamento,casa,mojarse,agua,botas,calor,nubes,planeta,invierno,chamarra,calenton,banana,banana,banana,draw,art,mess,bed,room,white,dryer,clothes,store,can,truck,bag,broom,clean,floor,dirty,clothes,dishes,receptionist,customer,store,money,poor,sale,job,sale,store,food,salad,soup,alcohol,party,drink,sand,camel,chocolate,game,pen,soccer,award,game,honors,game,team,member,hospital,technician,film,medicine,injury,relief,doctor,clinic,school,clothing,sale,store,woman,party,summer,clothes,shirt,iron,street,travel,commute,luxury,plastic,store,hotel,vacation,money,cold,winter,snowman,sun,outside,shorts,weather,storm,hurricane,"English, Spanish",2,,,Yes,high school,4 yrs,Yes,No,
first,sp24,Female,25,Yes,cobija,almohada,descanzo,refleccion,ilusion,vampiros,limpieza,ruido,succion,organizacion ,ejercer,orden,dedicacion,amor,comida,ropa,tender,deslisar,compras,mandado,dinero,oferta,precio,compra,inversion,diligencia,dinero,frio,refrescante,bebida,pollo,puerco,rez,tomate,lechuga,pepino,futbol,deportes,profecional,diligencia,responsabilidad,determinado,deporte,futbol,pito,fractura,hueso,emergencia,resfrio,hospital,urgencia,energia,estable,juventud,blusa,camison,ropa,cachucha,esteriotipo,mexicano,vestido,tacones,fluido,aire,ingenieria,fisica,arena,sol,mar,prestar,temporario,finito,agua,nuves,inundacion,vida,luz,energia,resfrio,nieve,invierno,banana,banana,banana,artist,art,brush,duvet,comforter,blanket,dryer,laundry,detergent,garbage,rubbish,waste,cleanliness,order,hygene,hygene,soap,lather,employee,assistance,representative,economic,frugal,limited,exchage,representation,opportunity,cluck,roost,tasty,alcohol,dependence,addiction,indulgence,sweet,calories,round,rolling,sphere,league,compitition,rivalry,game,sports,rules,radiological,exam,findings,anguish,sad,primal,doctor,examiner,medical,simple,clothes,classic,flowy,feminine,twirl,trousers,jeans,corduroy,vehicle,fuel,speed,purse,satchel,carry,temporary,rental,comfort,cold,frost,winter,hot,burn,ouch,blow,restless,movement,"English, Spanish",Spanish,Spanish,"Spanish, English",Yes,Elementary school,11 years,No,Yes,"United States, for the rest of my life"
first,sp25,Female,31,Yes,Dormir,Descanso ,Noche ,Reflejo ,Vestuario ,Belleza ,Limpieza ,Carpeta,Disinfectar,Escoba,Disinfectante ,Cloro ,Estufa,Receta ,Almuerzo ,Burro,Agua ,Colgar ,Dinero ,Registrador ,Ventas ,Regatiar,Descuento,Dinero,Lujo ,Estilo ,Pertijio ,Soda ,Sed ,Sol ,Asada,Tacos,Cena,Vegetales,Lechuga ,Pepino ,Futbol ,Corre ,Exercisio ,Exercisio,Motivador ,Salud ,Futbol ,Equipo,Reglas,Dolor,Pie,Caminar ,Toz ,Fiebre ,Congestion ,Vegetales ,Fruita ,Exercisio,Vestir ,Suave ,Deportista ,Baile,Mariachi,Estilo ,Estilo,Marca ,Verano ,Aire ,Altura ,Vacaciones ,Marisco ,Verano ,Arena ,Prestar ,Dar ,Amigable ,Nuvez,Agua ,Mojar ,Verano,Dia,Caliente ,Temperatura ,Noche ,Inverno ,banana ,banana,banana,Art,Colorful,Talent,Paper,Office,Work,Clothes,Clean,Foam,Smell,Waste,Bags,Clean,Broom,Disinfectant,Clean,Scrub,Sparkle ,Cashier,Money,Helpful ,Bargain,Rip,Gross,Cash,Wealth,Status,Meat,Fear,Food,Drunk,Party,Tipsy,Ice cream,Cake,Sundae,Sports,Kids,Soccer,Winner,Sport,Best,Game,Fun,Enthusiasm ,Doctor,Sick,Pain,Cut,Bleeding,Fight,Doctor,Health,Knowledgeable ,Comfort,Louge,Style,Brand,Style,Fabric,Style,Brand,Fabric,Car,Destination,Road,Brand,Style,Staus,Camping ,Rv,Hotel,Winter,Cold,White,Summer,Hot,Day,Spring,Cold,Messy ,Spanish and English,Spanish ,Spanish/ English,Spanish/English ,No,,,No,Yes,United States
