Participant,Gender,Age,EngL1,[Field-2]-1_1_1-relatedword1,[Field-2]-1_1_1-relatedword2,[Field-2]-1_1_1-relatedword3,[Field-2]-1_1_2-relatedword1,[Field-2]-1_1_2-relatedword2,[Field-2]-1_1_2-relatedword3,[Field-2]-1_1_4-relatedword1,[Field-2]-1_1_4-relatedword2,[Field-2]-1_1_4-relatedword3,[Field-2]-1_2_1-relatedword1,[Field-2]-1_2_1-relatedword2,[Field-2]-1_2_1-relatedword3,[Field-2]-1_2_2-relatedword1,[Field-2]-1_2_2-relatedword2,[Field-2]-1_2_2-relatedword3,[Field-2]-1_2_3-relatedword1,[Field-2]-1_2_3-relatedword2,[Field-2]-1_2_3-relatedword3,[Field-2]-1_3_1-relatedword1,[Field-2]-1_3_1-relatedword2,[Field-2]-1_3_1-relatedword3,[Field-2]-1_3_3-relatedword1,[Field-2]-1_3_3-relatedword2,[Field-2]-1_3_3-relatedword3,[Field-2]-1_3_4-relatedword1,[Field-2]-1_3_4-relatedword2,[Field-2]-1_3_4-relatedword3,[Field-2]-2_1_1-relatedword1,[Field-2]-2_1_1-relatedword2,[Field-2]-2_1_1-relatedword3,[Field-2]-2_1_2-relatedword1,[Field-2]-2_1_2-relatedword2,[Field-2]-2_1_2-relatedword3,[Field-2]-2_1_3-relatedword1,[Field-2]-2_1_3-relatedword2,[Field-2]-2_1_3-relatedword3,[Field-2]-2_2_2-relatedword1,[Field-2]-2_2_2-relatedword2,[Field-2]-2_2_2-relatedword3,[Field-2]-2_2_3-relatedword1,[Field-2]-2_2_3-relatedword2,[Field-2]-2_2_3-relatedword3,[Field-2]-2_2_6-relatedword1,[Field-2]-2_2_6-relatedword2,[Field-2]-2_2_6-relatedword3,[Field-2]-2_3_1-relatedword1,[Field-2]-2_3_1-relatedword2,[Field-2]-2_3_1-relatedword3,[Field-2]-2_3_2-relatedword1,[Field-2]-2_3_2-relatedword2,[Field-2]-2_3_2-relatedword3,[Field-2]-2_3_4-relatedword1,[Field-2]-2_3_4-relatedword2,[Field-2]-2_3_4-relatedword3,[Field-2]-3_1_1-relatedword1,[Field-2]-3_1_1-relatedword2,[Field-2]-3_1_1-relatedword3,[Field-2]-3_1_6-relatedword1,[Field-2]-3_1_6-relatedword2,[Field-2]-3_1_6-relatedword3,[Field-2]-3_1_3-relatedword1,[Field-2]-3_1_3-relatedword2,[Field-2]-3_1_3-relatedword3,[Field-2]-3_2_5-relatedword1,[Field-2]-3_2_5-relatedword2,[Field-2]-3_2_5-relatedword3,[Field-2]-3_2_2-relatedword1,[Field-2]-3_2_2-relatedword2,[Field-2]-3_2_2-relatedword3,[Field-2]-3_2_3-relatedword1,[Field-2]-3_2_3-relatedword2,[Field-2]-3_2_3-relatedword3,[Field-2]-3_3_1-relatedword1,[Field-2]-3_3_1-relatedword2,[Field-2]-3_3_1-relatedword3,[Field-2]-3_3_2-relatedword1,[Field-2]-3_3_2-relatedword2,[Field-2]-3_3_2-relatedword3,[Field-2]-3_3_4-relatedword1,[Field-2]-3_3_4-relatedword2,[Field-2]-3_3_4-relatedword3,Forthisquestiontypethewordbananainthethreeboxes.-relatedword1,Forthisquestiontypethewordbananainthethreeboxes.-relatedword2,Forthisquestiontypethewordbananainthethreeboxes.-relatedword3,[Field-2]-1_1_3-relatedword1,[Field-2]-1_1_3-relatedword2,[Field-2]-1_1_3-relatedword3,[Field-2]-1_1_5-relatedword1,[Field-2]-1_1_5-relatedword2,[Field-2]-1_1_5-relatedword3,[Field-2]-1_1_6-relatedword1,[Field-2]-1_1_6-relatedword2,[Field-2]-1_1_6-relatedword3,[Field-2]-1_2_4-relatedword1,[Field-2]-1_2_4-relatedword2,[Field-2]-1_2_4-relatedword3,[Field-2]-1_2_5-relatedword1,[Field-2]-1_2_5-relatedword2,[Field-2]-1_2_5-relatedword3,[Field-2]-1_2_6-relatedword1,[Field-2]-1_2_6-relatedword2,[Field-2]-1_2_6-relatedword3,[Field-2]-1_3_2-relatedword1,[Field-2]-1_3_2-relatedword2,[Field-2]-1_3_2-relatedword3,[Field-2]-1_3_5-relatedword1,[Field-2]-1_3_5-relatedword2,[Field-2]-1_3_5-relatedword3,[Field-2]-1_3_6-relatedword1,[Field-2]-1_3_6-relatedword2,[Field-2]-1_3_6-relatedword3,[Field-2]-2_1_4-relatedword1,[Field-2]-2_1_4-relatedword2,[Field-2]-2_1_4-relatedword3,[Field-2]-2_1_5-relatedword1,[Field-2]-2_1_5-relatedword2,[Field-2]-2_1_5-relatedword3,[Field-2]-2_1_6-relatedword1,[Field-2]-2_1_6-relatedword2,[Field-2]-2_1_6-relatedword3,[Field-2]-2_2_1-relatedword1,[Field-2]-2_2_1-relatedword2,[Field-2]-2_2_1-relatedword3,[Field-2]-2_2_4-relatedword1,[Field-2]-2_2_4-relatedword2,[Field-2]-2_2_4-relatedword3,[Field-2]-2_2_5-relatedword1,[Field-2]-2_2_5-relatedword2,[Field-2]-2_2_5-relatedword3,[Field-2]-2_3_3-relatedword1,[Field-2]-2_3_3-relatedword2,[Field-2]-2_3_3-relatedword3,[Field-2]-2_3_5-relatedword1,[Field-2]-2_3_5-relatedword2,[Field-2]-2_3_5-relatedword3,[Field-2]-2_3_6-relatedword1,[Field-2]-2_3_6-relatedword2,[Field-2]-2_3_6-relatedword3,[Field-2]-3_1_4-relatedword1,[Field-2]-3_1_4-relatedword2,[Field-2]-3_1_4-relatedword3,[Field-2]-3_1_5-relatedword1,[Field-2]-3_1_5-relatedword2,[Field-2]-3_1_5-relatedword3,[Field-2]-3_1_2-relatedword1,[Field-2]-3_1_2-relatedword2,[Field-2]-3_1_2-relatedword3,[Field-2]-3_2_4-relatedword1,[Field-2]-3_2_4-relatedword2,[Field-2]-3_2_4-relatedword3,[Field-2]-3_2_1-relatedword1,[Field-2]-3_2_1-relatedword2,[Field-2]-3_2_1-relatedword3,[Field-2]-3_2_6-relatedword1,[Field-2]-3_2_6-relatedword2,[Field-2]-3_2_6-relatedword3,[Field-2]-3_3_3-relatedword1,[Field-2]-3_3_3-relatedword2,[Field-2]-3_3_3-relatedword3,[Field-2]-3_3_5-relatedword1,[Field-2]-3_3_5-relatedword2,[Field-2]-3_3_5-relatedword3,[Field-2]-3_3_6-relatedword1,[Field-2]-3_3_6-relatedword2,[Field-2]-3_3_6-relatedword3,LangSpoken,Lang_0-5,Lang_6-12,Lang_13-18,selfrate_speak,selfrate_understand,Span_classes,Span_classes_time,Span_classes_amount,current_enrolled,current_class,Caregivers_speak_Span,Span_travel,Span_country,mTurkCode
EN36,Female,19,Yes,pillow,blanket,sheets,reflection,face,bathroom,crumbs,mess,sweeper,limpiar,house,dishes,stove,oven,pans,shirt,fancy,event,shopping,target,groceries,sale,shopping,money,money,shopping,costly,pop,coke,pepsi,chicken,steak,beef,dressing,lettuce,summer,play,friends,fun,sports,intense,whistle,whistle,game,sports,bones,legs,cast,tissues,medicine,rest,apples,oranges,exercise,tank ,hoodie,sweatshirt,winter,baseball,scarf,dress,fancy,shirt,air,sky,fly,umbrella,waves,sand,money,apartment,house,umbrella,wet,snow,warm,tan,summer,winter,jacket,snow,banana,banana,banana,uno,dos,tres,baño,cocina,saber,limpiar,platos,casa,sacar,de comida,riciclar,platos,ducha,baño,ropa,platos,baño,comprar,centro de comercial,tienda,comprar,papel,caro,comprar,coche,gastar,carne,costillas,hamburguesa,fiesta,vino,barre,pastel,galletas,dulces,golf,basquetbol,tenis,fuego,tierra,dormir,golf,futbol,tenis,hospital,medicina,dolar,hospital,medecina,medico,hospital,medecina,carrerra,falda,pantelones,vestido,falda,camiseta,zapatos,verano,cortos,camiseta,coche,carro,avion,casa,dormitorio,luces,comida,especias,ajo,niño,niña,chica,comida,pastel,huevos,diez,triente,catorce,English,English,English,English,I can talk about familiar topics using full (simple) sentences and ask basic questions.,I can understand basic information of everyday topics when listening/reading.,Yes,"9th, 10th, 11th grade (highschool) fall and spring freshman semester (college)",5,Yes,Spanish 3,No,No,,9554007
EN30,Female,19,Yes,pillows,sleep,sheet,face,self,silver,clean,sweep,push,wash,vacuum ,rinse ,cooking,food,prepare ,ironing ,board ,clothes,food,grocery ,shopping ,sale,off,cheap,lush,rich,money,bad,fizzy ,beverage ,hamburger ,sausage,ball,lettuce,tomatoes ,oil,board,playing,fun,reassurance ,cheerleader,friend,soccer ,football,wrestling ,knee,hurt,injured,cough,sneeze,vomit,food,calorie ,fit,body,dress,fitted,cap,top,head,dress,shorts,legs,fly,clouds,travel,umbrella ,ocean ,sand,buy,own,list,pour,water,clouds,sky,clouds,grass,freezing,chilly,frozen,banana  ,banana ,banana ,pintura ,habatación ,dormitorio ,cama,almohada ,hacer,lavar ,ropa,platos,sacar,limpia,olor,piso ,limpio ,casa,platos,ropa,lavadora ,tienda,dinero ,pagar,comida,ropa,tienda ,pagar ,ganar,comprar,pavo,pescado ,pan,comer ,refresco ,pan ,café,pastel ,vino,fútbol ,balón,beisbol ,deporte,jugar,equipo ,equipo ,entrenador ,videojuegos ,hueso ,muleta ,hospital ,gripe,estómago ,inyección ,inyección ,pastilla ,doctor,ropa,verde ,azul ,falda,cortos ,bonita ,cortos,sandalas ,gafas ,dinero,comida ,niños ,viaje ,mochila ,equipaje ,hotel,dormitorio,viaje ,llover,guante,frío,sol,hacer,mucho,frío ,nublar,llover ,English,English,English,English,I can talk about familiar topics using full (simple) sentences and ask basic questions.,I can recognize only very familiar words when listening/reading.,Yes,High School and College,5 Years,Yes,SPAN 3,No,No,,7351121
EN40,Male,19,Yes,comfortable,warm,sleep,myself,bathroom,clean,clean,loud,carpet,shiny,comfortable,work,food,meat,salad,straight,flat,hot,costco,family,food,cheap,lower,price,rich,nice,boujee,bubble,sugar,taste,chicken,steak,fish,lettuce,kale,dressing,fun,friends,competitive,leader,widosm,help,judge,bias,rules,injured,help,support,gross,tired,sad,greens,exercise,food,large,cotton,clothing,baseball,top,cover,clothes,girls,old,fly,high,gross,sand,water,home,temporary,expensive,house,cold,wet,beautiful,hot,bright,big,sick,snow,wind,banana,banana,banana,color,trabajo,hermoso,cama,blanco,calor,ropa,casa,trabajo,barato,viejo,enfermo,trabajo,tierra,limpiar,manos,platos,comida,trabajo,producto,dinero,dinero,abuela,comida,verde,caro,banco,carne,animal,bien,beber,alcohol,viejo,pastel,dulce,galleta,juego,jugar,tenis,juego,divertido,ejercicio,fútbol,deportes,juego,hospital,doctor,radio,triste,hospital,accidente,hospital,enfermo,consado,grande,azul,persona,niña,ropa,blanco,ropa,frío,calzoncillos,coche,carretera,viaje,viajar,ropa,avión,hotel,casa,cama,frío,invierno,blanco,sol,ejercicio,niña,frío,playa,montaña,English,English,English,English,I can talk about familiar topics using single words or short phrases.,I can understand basic information of everyday topics when listening/reading.,Yes,high school and college,4 years,Yes,2 and 3,No,No,,1361131
EN28,Male,19,Yes,Pillow,Blanket ,Comfortable ,Wall,Reflection ,Glass,Trash,Dirt,Crumbs,Wash,Room,House,Clean,Food,Hungry,Smooth,Wrinkle,Hot,Walmart,Market,Buy,Sale,Store,Price,Money,Pricey,High quality ,Water,Coke,Sprite,Food,Poultry,Steak,Healthy,Food,Green,Sport,Board,Fun,Ball ,Baseball,Sports,Soccer,Sports,Basketball,Hurt,Cast,Pain,Hospital,Covid ,Fever,Diet,Exercise ,Water,T shirt,Sweatshirt,Pants,Cap,Clothes,Accessories ,Dress,Earrings,Lipstick,Big,Fast,Fly,Ocean,Sand,Shells,To buy,Money,Mutual,Wet,Water,Snow,Shine,Bright,Yellow,Freezing,Snow,Winter,Banana,Banana,Banana,Mesa,Papel ,Cama ,Conocer ,Saber,Technología,Lavar,Manos,Platos,Sacar ,Cocina ,Cocinar ,Barato ,Bandera ,Buscar,Limpiar ,Platos,Manos,Comprar ,Buscar ,Comer,Claro ,Camisa ,Cosas ,Mucho,Quiero ,Verde ,Comer,Bistecca,Bueno,Taza ,Plato ,Cuchara ,Pastel,Comer,Beber ,Deportes ,Jugar ,Baloncesto ,Ver,Bonita,Bien,Deportes ,Jugador ,Equipo ,Tele,Ver ,Oir ,Deber ,De ,Dolores,Hospital,Enfermo ,Doctor,Camisa,Pantalones ,Cortos,Chaqueta ,Zapatos,Nuevo,Cortos ,Nueva ,Barato ,Verbo ,Abrir,Cubir ,Paser ,La ,Mal ,Amorar ,Hola,Bien ,Frio ,Mal ,Tiempo ,Hacer ,Buen ,Tiempo ,Hacer,Tiempo ,Ver,English,English,English,English,I can talk about familiar topics using full (simple) sentences and ask basic questions.,I can understand basic information of everyday topics when listening/reading.,Yes,High school and college,5,Yes,Spanish 3,No,No,,3773897
en26,Male,18,Yes,soft,rectangle,blanket,white sheen,me,circle,floor,loud,dust,floor,sponge,soap,pans,food,good smells,smooth out,heat,steam,glass doors,shelves,fluorescent lights,yellow sign,wallet,clothes,gold,money,luxury,fizzy,sip,sugary,red,slices,salty,green,lettuce,bowl,videogame,boardgame,sports,sport,yell,move,sports,football,striped shirt,broken leg,help on a test,metal bar,turn green,thermometer,bed,vegetables,abs,smiles,loose,fabric,folded,baseball,trilby,top hat,woman,man,underwear,seat,cold,window,sand,water,sun,apartment,movies,owe,grey,water,soft,bright,yellow/orange,blue sky,cool,snow,ice,banana,banana,banana,pintura,camera,Picasso,cama,noche,dormir,jabon,ropa,agua,reciclaje,papel,plastico,limpiar,lavar,piso,limpiar,jabon,manos,tienda,plata,comida,plata,pequeno,no mucho,plata,verde,papel,comida,cena,sandwich,beber,soda,con gas,comida,chocolate,helado,juego,jugador,futbol,jeugo,jugador,ganadora,practicar,hincha,dificil,doctor,medico,escuela,malo,enfermo,pobresito,doctor,ambulancia,hospital,ropa,zapatos,calzoncillos,ropa,polo,pecho,ropa,piernas,vestido,carro,coche,noche,aeropuerto,vacaciones,visitar,casa,comida,relajada,frio,nublado,diciembre,sol,verano,julio,llueve,sol,nuble,"English, Spanish","English, Spanish","English, less Spanish",English,I can talk about familiar topics using full (simple) sentences and ask basic questions.,"In can understand the main idea and also details of somewhat complex discourse when listening/reading, especially if I'm familiar with the topic.",Yes,"Elementary school, 1 year in Middle School, 4 years in High school, 1 semester in college",4.5 years,Yes,Spanish 003,Yes,No,,9853880
EN34,Male,20,Yes,sleep,dream,rest,reflection,myself,glass,spring,clean,carpet,work,mopping,trash,food,stove,recipe,hot,wrinkles,dress,convenience,restaurant,hold onto,lower,coupon,cheaper,gucci,money,elite,caffeine,calories,sugar,food,animals,beef,healthy,lettuce,dinner,fun,video game,happy,teacher,inspiration,game,regulator,rules,game,hurt,pain,foot,hospital,cough,sneeze,salad,gym,calories,tanktop,t-shirt,tee,head,cap,hair,dress,formal,female,airline,aviation,flying,water,sand,vacation,borrow,payment,monthly,weather,bad,gloomy,hot,revolve,planets,freezing,ice,snow,banana,banana,banana,pintura,arte,dibujar,cama,dormir,hacer la cama,limpieza,lavar,ropa,reciclar,sucio,desagradable,limpio,primavera,desordenado,limpio,agua,jabón,tienda,conveniencia,vender,falso,pobre,menos,comprar,dólar,verde,comida,cocinero,animal,bebida,alcohol,beber,comida,dulce,azúcar,bola,balón,juego,ganador,torneo,juego,desporte,juego,actividad,médico,daño,hueso,daño,hospital,roto,hospital,enfermero,dolor,camiseta de manga corta,ropa,amaro,formal,evento,lujoso,pantalones cortos,ropa,amario,cuidar de,manos,sujeción,viaje,vacaciones,hacer,hotel,reserva,cita,invierno,frío,hielo,sol,caliente,protector,brisa,frio,ventoso,"English, (Learning Spanish)",English,English,English,I can talk about familiar topics using full (simple) sentences and ask basic questions.,"In can understand the main idea and also details of somewhat complex discourse when listening/reading, especially if I'm familiar with the topic.",Yes,"High school, College","4 years of HS, 1 semester (Spanish 3) in College",Yes,SPAN 3,No,No,,1224596
EN44,Female,20,Yes,sleep,pillows,bedroom,reflection,get ready,makeup,loud,easy,clean,sweep,fold,spray,to eat,to chop,to fry,wrinkles,mothers,occasion,groceries,clothes,money,coupon,savings,mothers,fancy,name-brand,rich,sugar,carbonation,junk food,animals,global warming,slaughter,healthy,vegetables,dressing,play,ball,competition,sports,sports movies,mean,sports,fights,rules,dependence,support,easy,bed,tired,medication,exercise,vegetables,water,clothes,comfort,casual,sunny,sweaty,hair,clothes,girls,fancy,luggage,stress,travel,sun,tanning,drinking,lease,landlord,security deposit,umbrella,wet,inside,vitamin D,heat,outside,sickess,sweaters,colds,banana,banana,banana,pared,família,cuarto,cama,cuarto,lavadero,ropas,lecho,sucio,plástico,vertedero,sucio,limpiar,suelo,padres,ropas,suelo,lecho,dinero,comprador,cosas,mala calidad,menos dinero,fácil,rico,pobre,cartera,carne,muerte,pájaro,bebida,alcohol,universidad,azúcar,dulce,especial,juegos,competición,deportes,ganar,deportes,competición,deportes,pelotas,competición,huesos,enfermedad,doctora,mal,médico,medicamento,hospital,medicamento,oficina del doctor,casual,verano,deportes,lujoso,ocasión,chicas,escuela,frio,diario,trabajo,empleados,reglas,cosas,ir,viajar,vacaciones,hoteles,hostal,norte,frio,abrigo,sol,pantelones cortos,la fuera,chaqueta,árboles,frio,"English, some Spanish, some Portuguese",English,English,English,"I can talk about a wide range of topics (personal level, community level, international level) using full statements.","In can understand the main idea and also details of somewhat complex discourse when listening/reading, especially if I'm familiar with the topic.",Yes,High school and college,5 years,Yes,100,No,Yes,"Spain, 3 months",611277
EN46,Male,19,Yes,Sleep,Night,Comfortable,Reflection,Me,Same,Clean,Floor,Dirty,Vacuum ,Wash,Dusting,Oven,Food,Fry,Straighten,Heat,Clothes,Groceries,Essentials,Shopping,Cheap,Sale,Save,Price,Fancy,Money,Pop,Carbonation ,Unhealthy,Chicken,Pork ,Beef,Healthy,Dressing,Lettuce,Sports,Playstation,Fun,Mentor,Trainer,Sports,Game,Sports,Official,Hurt,Broken,Bones,Cold,Fever,Vomit,Salad,Vegetable,Fruit,Nike,Clothing,Apparel ,Head,Sun,Clothing,Clothing,Dress,Summer,Flying,Travel,High,Sand,Vacation,Ocean,House,Borrow,Use,Wet,Gloomy,Annoying,Hot,Bright,Summer,Chilled,Frozen,Snow,banana,banana,banana,Dormitorio,Dormir,Cama,Casa,Cama,Dormir,Ropa,Limpiar,Agua,Olor ,Mal ,Comida,Limpiar,Trabajar,Casa,Coche,Ropa,Mi,Tienda,Comprar,Fruta,Comida,Ropa,Comprar,Comprar,Trabajar,Gastar,Comida ,Comer,Bien,Frio,Beber,Vacaciones,Pastel,Helado,Chocolate,Baloncesto,Fútbol,Beisból,Deporte,Trofeo ,Ganar ,Fútbol,Baloncesto,Deporte,Hospital,Doler ,Roto,Roto,Enfermo ,Fiebre ,Doler,Hospital,Enfermo,Limpiar,Camisa,Rojo,Elegante ,Bonito,Bailar ,Jeans,Ropa,Azul,Coche,Conducir ,Rápido,Viajar,Ropa,Avión,Hotel,Vacaciones,Viajar ,Invierno,Frio,Navidad,Caliente ,Sol ,Horno,Rápido,Clima,Agua,English and learning spanish,1,1,1,I can talk about familiar topics using full (simple) sentences and ask basic questions.,I can understand basic information of everyday topics when listening/reading.,Yes,"8th grade, 9th grade, and freshman year of college",2 years and 2 semesters,No,,No,No,,866334
EN48,Female,19,Yes,pillow,blanket,mattress,glass,reflection,tall,clean,loud,mess,mop,wash,soap,food,kitchen,stove,clean,hot,flat,shop,buy,money,price,food,money,costly,money,things,drink,cold,can,tough,red,cow,food,tomatoes,pasta,sport,board,players,instructor,parent,teacher,sport,game,competition,injury,foot,leg,cold,cough,tired,food,gym,heart,clothes,sleeves,cotton,hair,head,sunny,dress,clothing,short,sky,seats,pilot,sand,sky,waves,house,purchase,stay,water,wet,blue,sky,bright,light,jacket,chilly,frozen, banana,banana,banana,lapiz,papel,escuela,cama,grande,descansar,romper,limpiar,agua,arboles,agua,lata,limpiar,trabajar,suelo,limpiar,romperse,manos,persona,comer,calle,dinero,comprar,recuerdos,comprar,recuerdos,tienda,comer,arroz,carne,mantel,beber,cuchillo,comer,beber,dulce,jugar,partido,divirtida,juegar,futbol,partido,partido,jugadoras,pelota,doctor,duele,espalda,garganta,espalda,nariz,hospital,dolor,tos,romper,pantalones,zapatos,romper,pantalones,limpiar,camisa,romper,limpiar,carro,rojo,conducir,viajar,viajo,pagar,hotel,viajar,aviones,frio,tiempo,blanco,playa,sol,jugadores,frio,tormenta,miedo,English and Spanish,English,English,English,I can talk about familiar topics using full (simple) sentences and ask basic questions.,"In can understand the main idea and also details of somewhat complex discourse when listening/reading, especially if I'm familiar with the topic.",Yes,Highschool and College,5 years and 1 semester,No,,No,No,,2365900
EN52,Female,19,Yes,sleep,lay,relax,reflection,glass,big,suck,clean,loud,vacuum,dirty,dust,oven,stove,grill,clean,neat,wrinkles,shop,clothes,food,cheap,coupon,sale,fancy,nice,investment,bubbly,sugar,caffeine ,burger,steak,chicken,lettuce,tomato,dressing,video,sport,board,sports,team,game,whistle ,sports,game,walk,broken,leg,cold,fever,chills,happy,sick,fun,pants,sweater,blouse,head,baseball,winter,dress,flowy,short,fly,sky,loud,sand,ocean,umbrella,house,car,buy,wet,water,clouds,hot,tan,yellow,snow,ice,winter,banana,banana,banana,teléfono,pintura,color,cama,cómoda,dormir,limpia,ropa,aburrida,sucia,nariz,comida,limpia,fresca,sucia,pelo,cara,platos,tienda,comprar,ropa,caro,dinero,venta,comprar,joyas,trabajo,carne,hamburguesa,bistec,bar,vino,beber,gelato,dulces,galletas,juegos,deportes,baloncesto,juegos,deportes,pelotas,deportes,juegos,equipo,roto,piernas,brazos,triste,herida,mal,hospital,enferma,fiebre,camisa,blusa,sueter,falda,blusa,traje,falda,camisa,frio,coche,calle,bicicleta,viaje,vacaciones,avión,cama,hotel,ducha,frio,invierno,divertida,caliente,verano,sol,frio,árboles,pelo,english,1,1,1,I can talk about familiar topics using full (simple) sentences and ask basic questions.,"In can understand the main idea and also details of somewhat complex discourse when listening/reading, especially if I'm familiar with the topic.",Yes,"middle school, high school and college",7 years,No,,No,No,,6450507
EN50,Male,19,Yes,sleep,relaxation,rest,reflection,actions,myself,dust,end-result,clean,washing,preparing,house,food,job,learning,wrinkles,steam,clean,shopping,items,wants/needs,sale,cheaper,stores,money,wants,luxury,drink,want,bad,food,animals,body,food,healthy,good,competitive,fun,entertaining,mentor,leader,trusting,peacekeeper,job,soccer,injured,lean,fall,tired,sleepy,weak,clean,lifestyle,happy,clothes,shopping,uniform,head,style,item,clothes,girls,uniform,travel,sky,flying,water,sand,fun,home,items,return,calming,wet,storms,nature,outside,bright,shiver,water,clean,banana,banana,banana,arte,bonita,creativo,dormir,limpia,lavar,ropa,limpia,importante,cosas,no me importa,yo tengo,limpia,piso,trabajo,limpia,platos,saludable,trabaja,persona,dinero,bien,tiendas,intelligente,importante ,trabajo,queremos,comida,animale,hacienda,caro,fiesta,universidad,comida,delicioso,querer,deportes,divertido,futbol,partido,divertido,futbol,deportes,dinero,trabajo,caro,romper,hospital,herir,cabeza,caerse,hospital,trabajo,enferma,ropa,tienda,tenemos,mujer,ropa,tienda,ropa,tienda,ponerse,persona ,importante,dinero,viaje,dinero,vuelo,necesidad,viaje,divertido,frio,el norte,invierno,sol,naturaliza,playa,naturaleza,afuera,otoño,"English, learning spanish",english,english,english,I can talk about familiar topics using full (simple) sentences and ask basic questions.,"In can understand the main idea and also details of somewhat complex discourse when listening/reading, especially if I'm familiar with the topic.",Yes,high school and college,3 years in high school and one semester in college so far,Yes,Spanish 100,No,No,,4356755
EN42,Female,19,Yes,pillow,blanket,sleep,image,reflection,bathroom,chores,clean,floor,vacuum,iron,productive,food,kitchen,stove,chores,clothing,flatten,purchase,food,clothes,cheap,sale,store,money,well made,designer,refreshing,carbonated,sweet,cow,pig,eat,healthy,lettuce,green,fun,ball,friends,leader,compassionate,passionate,sports,score-keeper,rules,broken bone,support,metal,vomit,sleep,uncomfortable,food,sleep,vitamins,comfortable,cotton,upper body,head,warm,sun,waist,clothes,outfit,sky,fly,fast,sun,sand,ocean,buy,live,move,wet,cloudy,peaceful,warm,summer,bright,snow,jacket,winter,banana,banana,banana,fotografía,cámara,memoria,cama,habatación,almojado,limpiar,ropa,casa,sacar,limpiar,trabajo,suelo,casa,limpiar,manos,ropa,platos,persona,cosas,dinero,económico,mal,tienda,trabajo,comprar,bolsa,cena,comer,bueno,bebido,adulto,fiesta,pastel,galleta,torta,juego,personas,amigos,juego,ganar,desafío,equipo,partido,juego,hueso,cuerpo humano,doctor/a,doctor/a,cabeza,cuerpo humano,doctor/a,enfermero/a,enfermo/a,persona,ropa,camisa,mujer,fiesta,bonita,ropa,frío,planchar,dinero,trabajo,vida,viajar,aeropuerto,hotel,hotel,habatación,cama,frío,invierno,niños,sol,playa,verano,montañas,el aire libre,contento,"English, Spanish (in school classes)",English/Span(School),English/Span(school),English/Span(school),I can talk about familiar topics using full (simple) sentences and ask basic questions.,"In can understand the main idea and also details of somewhat complex discourse when listening/reading, especially if I'm familiar with the topic.",Yes,"Elementary, Middle, High, College","about 6 years (on and off, not continuous)",Yes,Span 3,No,No,,5282814
EN58,Male,19,Yes,sleep,pillow,blanket,oneself,glass,view,carpet,dust,mess,windex,towel ,sponge,bake,fry,chop,press,proper,crisp,buy,sell ,products,deal,offer,bargin ,rich,costly,fine,pop,cola,drink,pork,beef,chicken,healthy,fruit,vegetables ,play,win,lose,leader,manager,boss,judge,sports,overseer ,aid,broken,support,ill,cold,flu,fitness,diet,exercise ,clothing ,pant,outfit,head,hair,fedora,clothes,shoes,outfit ,fly,travel,sky,sand,ocean,breeze ,borrow,loan,temporary ,pour,monsoon,drizzle ,hot,sunscreen,bright,winter,ice,snow,banana,banana,banana ,ver,visión,tomar,cama,almohada,dormir ,ropa,camiseta,limpiar ,residuos ,contaminación,reciclar,limpiar,lavar,aspirar,baño,manos,limpiar ,tienda,vender,comprar,dinero,descuento,venta,comprar,tienda,vender ,pescado,carne,cerdo,agua,beber,bebida,dulce,comida,comer,juego,bate,deportes ,juego,pelota,bate,juego,pelota,bate,médico,hospital ,hueso,medicina,médico,hospital ,hospital,dolor,medicina ,llevar,pantalones,zapatos,ropa,camiseta,limpiar ,ropa,camiseta,llevar,conducir ,usar,trabajar ,equipaje,viaje,escuela,habitación,casa,vivir,fría,invierno,hielo,soleado,verano ,primavera ,tiempo,calor,fría,English,English,English,English,I can talk about familiar topics using full (simple) sentences and ask basic questions.,I can understand basic information of everyday topics when listening/reading.,Yes,In high school and college,3 years in high school and 2 semesters in college,No,,No,No,,7902289
