"","node"
"680","teleefono"
"681","tiempo"
"682","turismo"
"683","video"
"684","voto"
"685","yo"
"686","activo"
"687","alegriia"
"688","americano"
"689","baloon"
"690","barcelona"
"691","bola"
"692","campeoon"
"693","copa"
"694","distraccioon"
"695","esporte"
"696","golazo"
"697","gramilla"
"698","grupo"
"699","hincha"
"700","liga"
"701","llorar"
"702","madrid"
"703","mexicano"
"704","pasto"
"705","patada"
"706","patear"
"707","pelee"
"708","pie"
"709","portero"
"710","ronaldo"
"711","saabado"
"712","seleccioon"
"713","uniforme"
"714","zacate"
"715","afectado"
"716","ambulancia"
"717","camilla"
"718","corazoon"
"719","curacioon"
"720","curita"
"721","danno"
"722","delicado"
"723","doctor"
"724","embarazada"
"725","emergencia"
"726","esteeril"
"727","gravedad"
"728","hueso"
"729","inyeccioon"
"730","jeringuilla"
"731","laboratorio"
"732","medicamento"
"733","morir"
"734","muerte"
"735","roto"
"736","sangre"
"737","seguro social"
"738","suero"
"739","sufrir"
"740","termoometro"
"741","tos"
"742","triste"
"743","vendaje"
"744","boleto"
"745","bonito"
"746","california"
"747","campar"
"748","cancuun"
"749","conferencia"
"750","costo"
"751","elevador"
"752","hotelero"
"753","invitacioon"
"754","las vegas"
"755","motel"
"756","pasillo"
"757","recepcionista"
"758","reservacioon"
"759","satisfactorio"
"760","servicio"
"761","servicio de cuarto"
"762","trivago"
"763","viaja"
"764","alimento"
"765","animal"
"766","broocoli"
"767","cebolla"
"768","coliflor"
"769","conejo"
"770","ensalada"
"771","espinaca"
"772","huerta"
"773","jamoon"
"774","jitomate"
"775","panini"
"776","pepino"
"777","planta"
"778","pozole"
"779","queso"
"780","ranch"
"781","repollo"
"782","romano"
"783","sandwich"
"784","sano"
"785","sembrar"
"786","tomate"
"787","vegetal"
"788","amoxicilina"
"789","antibiootico"
"790","aspirina"
"791","cura"
"792","curar"
"793","dormido"
"794","dosis"
"795","edad"
"796","enfermeriia"
"797","hierba"
"798","hospicio"
"799","investigacioon"
"800","marihuana"
"801","mejor"
"802","mejorar"
"803","pastilla"
"804","prescripcioon"
"805","quiimico"
"806","receta"
"807","remedio"
"808","resfriio"
"809","taza"
"810","vitamina"
"811","agradable"
"812","amiga"
"813","bebee"
"814","belleza"
"815","bello"
"816","cabello"
"817","carinnoso"
"818","cartera"
"819","chica"
"820","cueva"
"821","dama"
"822","ella"
"823","esposa"
"824","falda"
"825","femenino"
"826","flaco"
"827","hermana"
"828","hermoso"
"829","hija"
"830","humano"
"831","mama"
"832","menstruacioon"
"833","ninna"
"834","pelo"
"835","pintalabios"
"836","relacioon"
"837","rosado"
"838","rubio"
"839","sennora"
"840","sexo"
"841","tacoon"
"842","teta"
"843","tiia"
"844","trabajador"
"845","valiente"
"846","apariencia"
"847","arcoiris"
"848","brillante"
"849","cara"
"850","cepillar"
"851","cristal"
"852","cuerpo"
"853","diario"
"854","estima"
"855","feo"
"856","foto"
"857","guapo"
"858","igual"
"859","lavabo"
"860","lento"
"861","luz"
"862","mannana"
"863","maquillar"
"864","meditacioon"
"865","mente"
"866","mi"
"867","mirada"
"868","mirar"
"869","nostalgia"
"870","pensar"
"871","similar"
"872","sombra"
"873","tu"
"874","vanidad"
"875","ver"
"876","vestir"
"877","vista"
"878","ajuar"
"879","anillo"
"880","armario"
"881","blusa"
"882","boda"
"883","boxer"
"884","calceta"
"885","calcetiin"
"886","calzoon"
"887","camisa"
"888","chancla"
"889","collar"
"890","desnudar"
"891","detergente"
"892","disennador"
"893","gorro"
"894","lavadora"
"895","lindo"
"896","marca"
"897","media"
"898","pantaloon"
"899","piel"
"900","polo"
"901","pulsera"
"902","ropa interior"
"903","salir"
"904","secadora"
"905","sueeter"
"906","terciopelo"
"907","traje"
"908","usado"
"909","vestimenta"
"910","vestuario"
"911","aacido"
"912","bebible"
"913","bicarbonato"
"914","burbuja"
"915","carbohidrato"
"916","carbonatacioon"
"917","carbonato"
"918","chip"
"919","coca"
"920","coca cola"
"921","coke"
"922","cola"
"923","fanta"
"924","gaseosa"
"925","gaseoso"
"926","gordo"
"927","inca cola"
"928","jarrito"
"929","lata"
"930","limonada"
"931","manzanita"
"932","mountain dew"
"933","orinar"
"934","pepsi"
"935","sprite"
"936","apestoso"
"937","arreglar"
"938","asco"
"939","asqueroso"
"940","bacteria"
"941","bannera"
"942","barro"
"943","bruto"
"944","cerdo"
"945","cochino"
"946","deber"
"947","desagradable"
"948","desorden"
"949","desorganizado"
"950","disgusto"
"951","embarrado"
"952","escoba"
"953","fabuloso"
"954","fango"
"955","germen"
"956","hermano"
"957","incoomodo"
"958","inmundo"
"959","lodo"
"960","lomo"
"961","maloliente"
"962","mancha"
"963","manchado"
"964","mano"
"965","mugroso"
"966","negro"
"967","obsceno"
"968","oler"
"969","olor"
"970","oscuro"
"971","perezoso"
"972","pobre"
"973","puerco"
"974","reguero"
"975","servilleta"
"976","sopa"
"977","soquete"
"978","tirar"
"979","traste"
"980","abanico"
"981","cumpleannos"
"982","estacioon"
"983","humedad"
"984","invierno"
"985","lentes"
"986","marisco"
"987","meexico"
"988","otonno"
"989","primavera"
"990","protector solar"
"991","abuelo"
"992","aeropuerto"
"993","barco"
"994","bulto"
"995","empacar"
"996","esparcimiento"
"997","fatigoso"
"998","gozar"
"999","largo"
"1000","lejos"
"1001","maleta"
"1002","miami"
"1003","mochila"
"1004","montana"
"1005","motocicleta"
"1006","paiis"
"1007","paraiiso"
"1008","pasaje"
"1009","pasaporte"
"1010","paseo"
"1011","vuelo"
"1012","aarbol"
"1013","abeja"
"1014","ala"
"1015","american airlines"
"1016","ascender"
"1017","ave"
"1018","capitaan"
"1019","cielo"
"1020","equipaje"
"1021","festejar"
"1022","flotar"
"1023","heeroe"
"1024","helicooptero"
"1025","huir"
"1026","libertad"
"1027","mariposa"
"1028","nube"
"1029","paajaro"
"1030","paracaiidas"
"1031","pasajero"
"1032","superheeroe"
